State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code

Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/01/2014,300,1100,500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/01/2014,300,1000,500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/01/2014,300,1000,500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/01/2014,300,1100,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/02/2014,350,1200,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/02/2014,300,1400,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/02/2014,300,1300,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/02/2014,350,1400,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/02/2014,350,1400,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/03/2014,350,1400,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/03/2014,350,1400,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/03/2014,350,1200,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/03/2014,400,1500,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/03/2014,400,1500,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/03/2014,400,1600,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/04/2014,600,1500,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/04/2014,600,1600,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/04/2014,600,1600,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/04/2014,600,1600,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/04/2014,600,1600,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/04/2014,800,2000,1200,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/05/2014,1000,2500,1500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/05/2014,1000,2500,1500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,30/05/2014,1000,2600,1600,17
